Persona,UI_Element,Override_Value,Default_Value,Persona_Count,Persona_Share,Confidence,Support,Evidence,Evidence_Count
Loyal Customer,font_style_pref,"3. Rounded Friendly (Soft, approachable fonts with rounded edges)",2. Classic Serif (Traditional fonts with decorative strokes like Times New Roman),9,0.4091,0.409091,0.045,"Statistics, Random Forest",2
Loyal Customer,product_desc_length,Detailed Full (All specifications and information visible),Expandable Sections (Organized into collapsible sections),8,0.3636,0.363636,0.04,"Statistics, Random Forest, SHAP",3
Loyal Customer,background_pref,Dark (Dark gray or black background),"Cream/Off-white (Warm, comfortable, paper-like)",7,0.3182,0.318182,0.035,"Statistics, Random Forest",2
Loyal Customer,urgency_pref,"Countdown Timers (Show ""Sale ends in 2 hours"")",Both (Show both stock and time based urgency),7,0.3182,0.318182,0.035,"Statistics, Random Forest",2
Loyal Customer,color_theme_pref,Cool Blues (Blues and grays - calm and trustworthy),"Minimalist Black & White (Clean, high contrast, professional)",6,0.2727,0.272727,0.03,"Statistics, Random Forest, SHAP",3
Minimalist,desktop_image_text_ratio,"Balanced (50% images, 50% text - equal emphasis)","Image-focused (80% images, 20% text - highly visual)",20,0.4545,0.454545,0.1,"Statistics, Random Forest",2
Minimalist,desktop_search_visibility,Collapsible (Search bar that expands when clicked),"Always Visible Top (Large, prominent search bar always shown)",20,0.4545,0.454545,0.1,"Statistics, SHAP",2
Researcher,desktop_review_display,All Paginated (Show all reviews with pagination),Recent 3- 5 (Show a few recent reviews),22,0.4231,0.423077,0.11,"Statistics, Random Forest",2
Researcher,recommendation_type,Category based (Similar items from the same category),Deals (Products on sale or special offers),20,0.3846,0.384615,0.1,"Statistics, Random Forest, SHAP",3
Researcher,checkout_style,Progress Bar (Multi step with visual progress indicator),One Page (All checkout steps on a single scrolling page),20,0.3846,0.384615,0.1,"Statistics, Random Forest",2
Researcher,desktop_navigation,Combination of top bar and dropdowns,Top Bar (Categories always visible across the top),17,0.3269,0.326923,0.085,"Statistics, Random Forest, SHAP",3
Researcher,form_field_style,"Filled Background (Shaded background, no border)",Rounded Border Fields (Outlined field with rounded corners),13,0.25,0.25,0.065,"Statistics, Random Forest, SHAP",3
Researcher,color_theme_pref,"Vibrant Bold (Bright, energetic colors - exciting and dynamic)","Minimalist Black & White (Clean, high contrast, professional)",12,0.2308,0.230769,0.06,"Statistics, Random Forest, SHAP",3
